Organization Name,Direct Cost,Indirect Cost,Funding
ROGER WILLIAMS HOSPITAL,1109450,652349,1761799
"INTRINSIC LIFESCIENCES, LLC",0,0,364451
MIDDLEBURY COLLEGE,190080,63863,253943
"DETECTOGEN, INC.",0,0,300000
CELLOMICS TECHNOLOGY,0,0,224700
EUROPEAN MOLECULAR BIOLOGY LABORATORY,7034533,311659,6881444
"ZANSORS, LLC",0,0,200000
"BEHAVIOR THERAPY ASSOCIATES, LLP",0,0,363192
TEXAS A&M INTERNATIONAL UNIVERSITY,98525,8263,106788
INDOOR BIOTECHNOLOGIES,0,0,184266
CALIFORNIA STATE UNIVERSITY SACRAMENTO,213855,52142,265997
"MEDICAL IMAGING APPLICATIONS, LLC",0,0,347854
UTILITY WORKERS UNION OF AMERICA,363900,27295,359908
"N&N SCIENTIFIC, INC.",0,0,1000000
"SYNTRIX BIOSYSTEMS, INC.",0,0,933466
"AVANSCI BIO, LLC",0,0,597513
INSILICOS,0,0,72751
"ACKCO, INC.",0,0,547852
"DEKK-TEC, INC.",0,0,638567
LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2343941,2035103,7620749
POMONA COLLEGE,191493,40524,232017
APPLIED GENETIC TECHNOLOGIES CORPORATION,0,0,154045
"GATACA, LLC",0,0,705108
UNIVERSITY OF MONTREAL,486904,38953,525857
FURMAN UNIVERSITY,230000,93150,323150
"NEUROP, INC.",0,0,1340913
"ALS BIOPHARMA, LLC",0,0,286284
LOHOCLA RESEARCH CORPORATION,0,0,158234
ILLINOIS STATE UNIVERSITY,744983,314593,1059576
JACKSONVILLE UNIVERSITY,133225,56114,189339
"TARGETED THERAPEUTIC SOLUTIONS, LLC",0,0,239505
"XL SCI-TECH, INC.",0,0,384717
"PAPIVAX, LLC",0,0,288194
"MESO SCALE DIAGNOSTICS, LLC",0,0,513957
NORTHERN ARIZONA UNIVERSITY,2795933,900648,3613581
TERAPIO,0,0,1250000
VAN ANDEL RESEARCH INSTITUTE,2001291,1257989,3259280
SPIRE CORPORATION,0,0,976818
HEMATOLOGY-ONCOLOGY ASSOCIATES/CTL NY,383297,295138,518435
"ELECTRICAL GEODESICS, INC.",0,0,741666
UNIVERSITY OF AUCKLAND,356025,26847,382872
"TDA RESEARCH, INC.",0,0,150000
UNIVERSITY OF MARYLAND EASTERN SHORE,366350,33781,380999
UNIVERSITY OF ARIZONA,54995966,21629559,74779182
CLEVELAND CLINIC LERNER COM-CWRU,56286990,26208949,82188005
"NEXIMMUNE, INC.",0,0,288268
COLLEGE AT PURCHASE,174655,13972,188627
"GEOVAX, INC.",0,0,276690
"INSCENT, INC.",0,0,149404
"NORTIS, INC.",0,0,299986
SOCIETY FOR INVESTIGATIVE DERMATOLOGY,25000,0,25000
INSTITUTO DE EFECTIVIDAD CLINICA Y SANIT,171850,13748,185598
"COVENANT THERAPEUTICS, LLC",0,0,99674
"GLSYNTHESIS, INC.",0,0,1358080
SEOUL NATIONAL UNIVERSITY,148876,11910,160786
"MORPHORMICS, INC.",0,0,318869
CHRISTIAN BROTHERS UNIVERSITY,210375,16089,226464
"REPRODUCTIVE RESEARCH TECHNOLOGIES, L P",0,0,527078
"ANTEANA THERAPEUTICS, INC.",0,0,132661
BAYLOR RESEARCH INSTITUTE,8154559,3326510,11481069
DREXEL UNIVERSITY,26221891,7989169,33720746
CHAIM SHEBA MEDICAL CENTER,374309,18622,392931
"J AND J SOLUTIONS, INC.",0,0,1014171
"ATLANTIC HEALTH SYSTEM, INC.",410702,167579,578281
OMEROS CORPORATION,0,0,865534
FEDERATION OF AMERICAN SCIENTISTS,119837,9587,129424
"INXSOL, LLC",0,0,349999
MACCONNELL RESEARCH CORPORATION,0,0,483057
"BIOSPYDER TECHNOLOGIES, INC.",0,0,487008
"PATHENS, INC.",0,0,300000
"PLX PHARMA, INC.",0,0,700267
"GLOTECH, INC.",0,0,374383
UNIV OF MED/DENT NJ-SCH OSTEOPATHIC MED,31232,19064,50296
UNIVERSITY OF CENTRAL OKLAHOMA,125000,37298,162298
CHAMINADE UNIVERSITY OF HONOLULU,638059,277556,696991
"APEX THERAPEUTICS, INC.",0,0,240322
"IFIT PROSTHETICS, LLC",0,0,308096
INTERNATIONAL MAMMALIAN GENOME SOCIETY,36050,0,36050
"DANYA INTERNATIONAL, INC.",0,0,270180
MILWAUKEE SCHOOL OF ENGINEERING,400684,31824,432508
NORTHSHORE UNIVERSITY HEALTHSYSTEM,2097998,897699,2995697
"VASGENE THERAPEUTICS, INC",0,0,811279
"PARION SCIENCES, INC.",0,0,1828432
"TUNITAS THERAPEUTICS, INC.",0,0,2831128
NEW YORK ACADEMY OF MEDICINE,395550,229328,624878
"RINGFUL, LLC",0,0,149852
"BRIDGE 12 TECHNOLOGIES, INC.",0,0,662055
NEW ENGLAND COLLEGE OF OPTOMETRY,550762,127103,643071
"SURFACE BIOADVANCES, INC.",0,0,150000
MEMORIAL HOSPITAL OF SOUTH BEND,541814,260057,710588
DANA-FARBER CANCER INST,80356858,36564205,115844948
FLOCEL INC.,0,0,470737
AMERICAN COLLEGE OF RHEUMATOLOGY,83000,0,83000
VGTI FLORIDA,738320,657105,1395425
CEDARS-SINAI MEDICAL CENTER,18930198,9026051,27956249
POPULATION REFERENCE BUREAU,140230,67155,207385
HEMOSONICS,0,0,1054277
"SOCIETY FOR PREVENTION RESEARCH, INC.",168000,0,168000
"FOUR TIGERS, LLC",0,0,313568
"ICF, INC., LLC",0,0,985354
EXCELLIMS CORPORATION,0,0,170648
MADONNA REHABILITATION HOSPITAL,47450,16228,63678
"23ANDME, INC.",0,0,805975
WAKE FOREST UNIVERSITY,2204293,465893,2792286
"PHOENICIA BIOSCIENCES, INC.",0,0,219306
MONTANA STATE UNIVERSITY - BOZEMAN,10351152,3174640,13525792
NOVA SOUTHEASTERN UNIVERSITY,1580357,339676,1920033
AVIDBIOTICS CORPORATION,0,0,616078
NEW YORK MEDICAL COLLEGE,4784148,2413186,7197334
"NANOIMAGING SERVICES, INC.",0,0,592927
PHOSPHORTECH,0,0,460205
CAMBRIDGE HEALTH ALLIANCE,1135060,273474,1408534
CHORDOMA FOUNDATION,20000,0,20000
"KEY TECHNOLOGIES, INC.",0,0,676656
SOUTHWEST RESEARCH INSTITUTE,373159,134772,1487931
"OPTIMA NEUROSCIENCE, INC.",0,0,689414
BOSTON COLLEGE,5827730,2506222,8118525
PACHYONYCHIA CONGENITA PROJECT,12500,0,12500
"ROCHAL INDUSTRIES, LLP",0,0,149988
"CARMOT THERAPEUTICS, INC.",0,0,1206511
NEW MEXICO STATE UNIVERSITY LAS CRUCES,6655023,1292877,7947900
GEORGIA  REGENTS UNIVERSITY,32647168,12350109,44725995
"NESHER TECHNOLOGIES, INC.",0,0,474766
UNIVERSITY OF HAWAII AT HILO,124928,9994,134922
"ZENAGENE, INC.",0,0,177648
"INTEL FEDERAL, LLC",986115,207635,1193750
"LAU-YEU, LLC",0,0,68900
"CHARLES RIVER LABORATORIES INTNTL, INC.",0,0,16139789
HEPATITIS B FOUNDATION,10000,0,10000
"CLEVELAND MEDICAL DEVICES, INC.",0,0,727326
"ADDIS, INC.",0,0,818530
MAYO CLINIC ARIZONA,6162304,2703056,8461445
UNIVERSITY OF ALABAMA IN TUSCALOOSA,2367528,706695,3074223
IONIC PHARMACEUTICALS,0,0,224475
"ZUCHEM, INC.",0,0,184763
BRANDEIS UNIVERSITY,18341720,7799039,25846230
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,7215210,2379067,9335440
"IHC HEALTH SERVICES, INC.",244886,19591,618937
"GRYPHON SCIENTIFIC, LLC",0,0,152771
"STANDARD IMAGING, INC.",0,0,437279
UNIVERSITY OF NEBRASKA LINCOLN,9950965,3353026,13303991
SAN FRANCISCO DEPT OF PUBLIC HEALTH,133597,7230,140827
SEPULVEDA RESEARCH CORPORATION,551185,140398,1094337
"ACIONT, INC.",0,0,1073868
CALIFORNIA STATE UNIVERSITY FRESNO,72375,27792,100167
PAPA OLA LOKAHI,810246,0,810246
SALK INSTITUTE FOR BIOLOGICAL STUDIES,25029864,16097663,41115822
"UNIVERSITY OF TEXAS, AUSTIN",37063261,14320893,51242696
NORTHWESTERN UNIVERSITY AT CHICAGO,124113727,46386710,176604480
HEBREW UNIVERSITY OF JERUSALEM,547015,43761,590776
SENSIMETRICS CORPORATION,0,0,204583
"OMADA HEALTH, INC.",0,0,195660
"CALISTA THERAPEUTICS, INC.",0,0,224993
"OPTOFLUIDICS, INC.",0,0,99841
"PHOTOLITEC, LLC",0,0,250569
THOMAS JEFFERSON UNIVERSITY,32979659,14891130,47642404
SANDIA CORP-SANDIA NATIONAL LABORATORIES,1062354,609790,1672144
DALHOUSIE UNIVERSITY,170639,13651,184290
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,242075,22702,264777
ALCHEM LABORATORIES CORPORATION,0,0,1154859
"SIGNAL SOLUTIONS, LLC",0,0,173773
MAINE MEDICAL CENTER,4623539,1781444,6393814
UNIVERSITY OF TENNESSEE KNOXVILLE,4040789,1117649,5158438
"DM-STAT, INC.",640007,381676,1021683
TEXAS A&M UNIVERSITY,11581045,3488222,14950767
CORNELIA DE LANGE SYNDROME FOUNDATION,6000,0,6000
"YASO BIOTECHNOLOGY, INC.",0,0,1000000
DOHENY EYE INSTITUTE,2138517,481741,2620258
NORTHERN KENTUCKY UNIVERSITY,230000,81420,311420
"DISCOVERYBIOMED, INC.",0,0,661260
"MYATT AND JOHNSON, INC.",0,0,490789
POSIT SCIENCE CORPORATION,0,0,401310
"RENOVA LIFE, INC.",0,0,155986
"K AND A WIRELESS, LLC",0,0,543767
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,737565,181308,918873
"QUALITY ELECTRODYNAMICS, LLC",0,0,224999
"ORIGENE TECHNOLOGIES, INC.",0,0,199996
LUDWIG INSTITUTE  FOR CANCER RES  LTD,6564536,1781480,8346016
"SIMBEX, LLC",443944,172440,1371694
SOCIAL SOLUTIONS INTERNATIONAL,0,0,597281
PHYSICAL OPTICS CORPORATION,0,0,682804
"ANATOMYWORKS, LLC",0,0,148400
"GRIFFIN LABORATORIES, INC.",0,0,474275
"LABCYTE,  INC.",0,0,992961
MAYO CLINIC ROCHESTER,136789236,55021981,192248756
EDUARDO MONDLANE UNIVERSITY,3292902,263432,3556334
"ADHAERE PHARMACEUTICALS, INC.",0,0,300000
UNIVERSITY OF COSTA RICA,36299,2904,39203
"INVENUX, LLC",0,0,839985
U.S. AGRICULTURAL RESEARCH SERVICE,120129,0,120129
INSTITUT/GENETIQUE/BIOLOGIE MOLEC/CELL,107880,8630,116510
VENTRIA BIOSCIENCE,0,0,1296788
"AMERICAN STEM CELL,  INC.",0,0,335440
"AEON IMAGING, LLC",0,0,981600
"IMMUNETICS, INC.",0,0,2651517
BRIGHT CLOUD INTERNATIONAL CORPORATION,0,0,616293
"CELLSIGHT TECHNOLOGIES, INC.",0,0,1499971
"NEUROGENETIC PHARMACEUTICALS, INC.",0,0,999911
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,299048349,105254959,396728993
"REMPEX PHARMACEUTICALS, INC.",191798,0,191798
VIRGINIA INSTITUTE OF MARINE SCIENCE,190000,86184,276184
"ZETROZ, INC.",0,0,196601
NORTHWESTERN HEALTH SCIENCES UNIVERSITY,265765,11842,277607
GEISINGER CLINIC,2568408,1336675,3905083
"BIOSENSICS, LLC",0,0,844800
ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN,2254255,180340,2434595
NANJING MEDICAL UNIVERSITY,88210,6428,94638
BOSTON MICROMACHINES CORPORATION,0,0,550268
MARSHALL UNIVERSITY,3229719,835663,4065382
"EDUCATION, TRAINING, & RESEARCH ASSOCS",367988,69918,437906
"LODESPIN LABS, LLC",0,0,580284
"SIMMERSION, LLC.",0,0,142077
"IRISYS, INC.",0,0,283206
"MEDARRAY, INC.",0,0,994755
MICHIGAN STATE UNIVERSITY,36546889,12646520,49054045
"ALDERON BIOSCIENCES, INC.",0,0,137329
NATIONAL INSTITUTE OF HEALTH SCIENCES,45618,2169,47787
"KIYATEC, LLC",0,0,294719
"XCELL SCIENCE, INC.",0,0,224994
STATE UNIVERSITY OF NEW YORK AT BUFFALO,31067215,14511723,48133703
NETHERLANDS CANCER INSTITUTE,189199,15136,204335
"PET/X, LLC",0,0,275148
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",3057642,822130,3861757
"CYTOINFORMATICS, LLC",0,0,150000
"OPTIVIA BIOTECHNOLOGY, INC.",0,0,901047
BARNES-JEWISH HOSPITAL,154312,33949,143154
"LAUREATE LEARNING SYSTEMS, INC.",0,0,757099
UNIVERSITY OF KANSAS,35951181,14708326,50565211
GEORGIA INSTITUTE OF TECHNOLOGY,17584300,4659366,22218571
IDAHO STATE UNIVERSITY,324709,41347,366056
"RRF FIELD SERVICES, LLC",0,0,467089
ADERA,1594971,120681,1715652
NORTHEAST OHIO MEDICAL UNIVERSITY,3988412,1936388,5924800
"SYNERGY ENTERPRISES, INC.",0,0,1175077
"PROFUSA, INC.",738657,288915,1322713
SPAULDING REHABILITATION HOSPITAL,1435862,474813,1910675
SOUTHERN MEDICAL UNIVERSITY,89494,6322,95816
"NOVAPEUTICS, LLC",0,0,251346
MCGILL UNIVERSITY HEALTH CTR RES INST,64969,5198,70167
POLYPEPTIDE LABORATORIES SAN DIEGO,0,0,47881
AMERICAN SOCIETY FOR BONE & MINERAL RES,40000,0,40000
HUMMINGBIRD PRECISION MACHINE COMPANY,0,0,992149
ALBERT EINSTEIN COLLEGE OF MEDICINE,105975979,51628396,156074356
LSU HEALTH SCIENCES CENTER,17101527,5274248,23615123
"PLACES FOR PEOPLE, INC.",144000,33408,177408
COLLEGE OF ST SCHOLASTICA,49916,0,49916
SARC,2055629,94871,2150500
UPSTATE MEDICAL UNIVERSITY,10787680,4484325,15814043
"PULMOKINE, INC.",0,0,926012
"ALAFAIR BIOSCIENCES, INC.",0,0,408513
"ARTIFICIAL INTELLIGENCE IN MEDICINE, INC",0,0,939852
SCRIPPS FLORIDA,17271151,12839432,30110583
MONELL CHEMICAL SENSES CENTER,4567612,1813157,6380769
WINIFRED MASTERSON BURKE MED RES INST,3639210,2006212,5645422
"ADVANCED MRI TECHNOLOGY, LLC",0,0,1232683
"ACLARIS MEDICAL, LLC",0,0,350000
UNIVERSITY OF RHODE ISLAND,12298535,3417308,15715843
SOUTHERN NEVADA CANCER RESEARCH FDN,421945,245115,427060
RENSSELAER POLYTECHNIC INSTITUTE,8000227,2720353,10720580
WESLEYAN UNIVERSITY,911613,458667,1370280
STATE COLLEGE OF OPTOMETRY,1558117,605417,2162395
ACCEL DIAGNOSTICS,0,0,168846
ORGANIZATIONAL WELLNESS & LEARNING SYS,0,0,92021
"NEUROENABLING TECHNOLOGIES, INC.",0,0,552618
CARDIFF UNIVERSITY,213880,17110,230990
"COLUMBUS NANOWORKS, INC.",0,0,170699
"MORGRIDGE INSTITUTE FOR RESEARCH, INC.",1818294,526997,2345291
NEUROPSYCHIATRIC RESEARCH INSTITUTE,685525,281920,917445
CHARLES R. DREW UNIVERSITY OF MED & SCI,14535226,2360233,16209303
WHITTIER COLLEGE,81993,6559,88552
MONTCLAIR STATE UNIVERSITY,129549,10185,139734
"DISCOVERY GENOMICS, INC.",0,0,679509
NEUROINDX INC.,0,0,580205
"L2 DIAGNOSTICS, LLC",1030991,574396,2604896
"ENTANGLEMENT TECHNOLOGIES, INC.",0,0,148209
"BIOCREDE, INC.",0,0,368098
HUGO W. MOSER RES INST KENNEDY KRIEGER,12468919,4299610,16768529
"ARCADIA BIOSCIENCES, INC.",0,0,689501
HUNTER COLLEGE,10535136,3935107,14470243
U OF L IMPERIAL COL OF SCI/TECHNLGY/MED,583107,44541,1761367
BATES COLLEGE,513603,205441,719044
"CHINGLU PHARMACEUTICAL RESEARCH, LLC",0,0,345000
PREDICTIVE BIOLOGY,0,0,224914
"MICROBRIGHTFIELD, INC.",0,0,1520860
"BODIMOJO, INC",0,0,510794
CENTRE FOR CHRONIC DISEASE CONTROL,232994,16982,249976
"VIRTUAL PHANTOMS, INC.",0,0,121604
UNIVERSITY OF COLORADO,30049886,10113477,40292061
REDEEMER'S UNIVERSITY,848251,37749,886000
SPELMAN COLLEGE,546209,73572,619781
"IRIS MEDIA, INC.",0,0,1073216
"ADHEREN, INC.",140414,46337,186751
"CANCER GENETICS, INC.",0,0,296877
"BRAIN PLASTICITY, INC.",0,0,918744
TUSKEGEE UNIVERSITY,2481214,992861,2572695
UNIVERSITY OF BERN,2741667,219081,2789548
"XIGEN, LLC",0,0,631727
COLLEGE OF WILLIAM AND MARY,514435,198895,713330
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,1150395,711369,33760570
RESEARCH INST OF FOX CHASE CAN CTR,15620353,8858671,24913239
"MATERIALS DEVELOPMENT, INC.",0,0,138932
LAKE SUPERIOR STATE UNIVERSITY,62059,3960,66019
FAMILIES OF SPINAL MUSCULAR ATROPHY,20000,0,20000
ANGION BIOMEDICA CORPORATION,0,0,3292168
"EPIGEN BIOSCIENCES, INC.",0,0,674409
JACKSON STATE UNIVERSITY,3532210,1044476,6657384
RESEARCH INST NATIONWIDE CHILDREN'S HOSP,18939286,6337558,27957763
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,32311171,12087735,43379733
FEDERAL UNIVERSITY OF BAHIA,564531,29339,593870
"BELLICUM PHARMACEUTICALS, INC.",265081,96563,361644
UNIVERSITY OF COLOMBO,125000,9200,134200
UNIVERSITY OF MISSISSIPPI,2824021,1116789,4787692
FORT LEWIS COLLEGE,256395,16205,272600
"CELLDEX THERAPEUTICS, INC.",0,0,110528
"GLYCOSENSORS AND DIAGNOSTICS, LLC",0,0,1547715
"BIOSENSING INSTRUMENT, INC.",0,0,350000
GORDON RESEARCH CONFERENCES,1181867,0,1181867
"PDX PHARMACEUTICALS, LLC",0,0,200000
"BIOTEX, INC.",0,0,511789
VETERANS BIOMEDICAL RESEARCH INSTITUTE,539757,147353,687110
LANZHOU UNIVERSITY,55001,0,55001
"VIROGENOMICS, INC.",0,0,668668
"LIBREDE, INC.",0,0,1131144
SOCIETY FOR GYNECOLOGIC INVESTIGATION,20000,0,20000
"DIGITAL ARTEFACTS, LLC",0,0,224953
"TERPENOID THERAPEUTICS, INC.",0,0,163134
GUNDERSEN LUTHERAN MEDICAL FOUNDATION,526713,47787,445370
RBHS-SCHOOL/ HEALTH RELATED PROFESSIONS,148685,9749,158434
COLUMBUS COMMUNITY CLINICAL ONCOLOGY PRG,813151,0,733151
WORCESTER POLYTECHNIC INSTITUTE,1338284,450129,1788413
"MERCATOR MEDSYSTEMS, INC.",0,0,1173555
"OYAGEN, INC.",274875,193608,468483
GRAMBLING STATE UNIVERSITY,364229,25371,330514
STOWERS INSTITUTE FOR MEDICAL RESEARCH,2726281,1588847,4315128
MOUNT DESERT ISLAND BIOLOGICAL LAB,5496667,1898286,7394953
UNIVERSITY OF TOLEDO,1430234,653319,2083553
"FIT INTERACTIVE, LLC",0,0,603280
UNIVERSITY OF MALAWI,343009,27441,370450
KAROLINSKA INSTITUTE,392056,27050,419106
"NEUROTARGETING, LLC",0,0,899606
"JYANT, INC.",0,0,197171
BRIGHAM YOUNG UNIVERSITY,1693558,622411,2315969
"TREATMENT RESEARCH INSTITUTE, INC. (TRI)",2797724,1015578,3813302
UNIVERSITY TEACHING HOSPITAL,30694,2456,33150
"THERMIMAGE, INC.",0,0,186911
REED COLLEGE,421028,180822,601850
FLORIDA GULF COAST UNIVERSITY,304293,76759,381052
LONDON SCHOOL/ECONOMICS/POLITICAL SCI,200375,16030,216405
UNIVERSITY OF RICHMOND,103125,8250,111375
ALLEGHENY-SINGER RESEARCH INSTITUTE,1025397,373174,1398571
"NERX BIOSCIENCES, INC.",0,0,131247
"MEDICON, INC.",0,0,1022841
"VENTRIX, INC.",0,0,1339549
DONALD DANFORTH PLANT SCIENCE CENTER,562179,365417,927596
"PERCEPTION RESEARCH SYSTEMS, INC.",0,0,299581
UNIVERSITY OF NEW ENGLAND,2185591,721190,2906781
"SOYMEDS, INC.",0,0,391627
LIUNA TRAINING AND EDUCATION FUND,5058258,385202,5009424
"NORTHWEST MEDIA, INC.",0,0,1393715
JOHN JAY COLLEGE OF CRIMINAL JUSTICE,780965,250085,1031050
"ETIOMETRY, LLC",0,0,549839
RHODE ISLAND COLLEGE,250000,79762,329762
"NOVION TECHNOLOGIES, INC.",0,0,349219
AMERICAN PAIN SOCIETY,60000,0,60000
"ARTANN LABORATORIES, INC.",106250,56313,2538886
UNIVERSITY OF WASHINGTON,345756989,110356378,454274167
NEW YORK STATE PSYCHIATRIC INSTITUTE,33809124,12165041,45962566
OPERATIONAL TECHNOLOGIES CORPORATION,0,0,199996
UNIVERSITY OF TEXAS EL PASO,5739665,1940912,7613966
"MEDSOCKET OF MISSOURI, INC.",0,0,142500
STRATATECH CORPORATION,0,0,2027880
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,61756772,19447049,79421539
ALBANY MEDICAL COLLEGE,6276543,3185602,9438615
"INTEGRATED SENSING SYSTEMS, INC. (ISSYS)",0,0,609256
PORTLAND STATE UNIVERSITY,2897762,886954,3784716
"ZONEONE PHARMA, INC.",0,0,160664
CHINA MEDICAL UNIVERSITY,114163,9133,123296
"INSIGHT GENETICS, INC.",0,0,2999402
"DIAGNOSTICS FOR THE REAL WORLD, LTD",0,0,911190
"490 BIOTECH, INC.",0,0,138191
"NIMBIC SYSTEMS, INC.",0,0,369221
INSTITUTE FOR FAMILY HEALTH,89169,0,89169
"ADVANCED BIOSCIENCE LABORATORIES, INC.",0,0,45679290
"TSRL, INC.",0,0,1300000
ROCHESTER INSTITUTE OF TECHNOLOGY,830290,333912,1164202
"FAST TRACK DRUGS & BIOLOGICS, LLC",0,0,225528
ANTON DE KOM UNIVERSITY OF SURINAME,46296,3704,50000
JUDGE BAKER CHILDREN'S CENTER,2190032,275880,2436670
"XERIS PHARMACEUTICALS, INC.",0,0,1392702
"AGILTRON, INC.",0,0,737258
NEW YORK ACADEMY OF SCIENCES,53000,0,53000
UNIVERSITY OF GENEVA,771213,23213,794426
BOSTON MEDICAL CENTER,25299003,9021556,34357978
UNIVERSITY OF HAWAII AT MANOA,28500551,9252725,36624663
"FAMILY WORKS, INC.",0,0,639157
SCIENCE-APPROACH,0,0,250000
"ACTINOBAC BIOMED, INC.",0,0,108255
"THERADEX SYSTEMS, INC.",0,0,3890312
UNIV OF MASSACHUSETTS MED SCH WORCESTER,88307897,43280208,130350480
"RUBICON BIOTECHNOLOGY, INC.",250000,68914,318914
RBHS -CANCER INSTITUTE OF NEW JERSEY,5040028,2295345,7432937
"REGENX BIOSCIENCES, LLC",0,0,261327
"STATEGICS, INC.",0,0,227624
"NANOCELLECT BIOMEDICAL, INC.",0,0,871292
TERRA NOVA LEARNING SYSTEMS,0,0,249621
"INVOTEK, INC.",0,0,179055
"COAPT, LLC",0,0,150490
"SCHOLARNEXUS, LLC",0,0,213073
PRESBYTERIAN COLLEGE,89442,7155,96597
KANSAS CITY CLINICAL ONCOLOGY PROGRAM,585600,0,585600
"D AND E TECHNICAL, INC.",0,0,140631
APPLIED SCIENTIFIC RESEARCH,49000,26344,75344
"VIRTUALLY BETTER, INC.",0,0,1706127
AMERICAN SOCIETY OF ANDROLOGY,99914,4940,104854
CENTRE FOR ADDICTION AND MENTAL HEALTH,2418430,193474,2611904
"COMMUNICATION DISORDERS TECHNOLOGY, INC",516790,17394,968179
KENT STATE UNIVERSITY AT KENT,2318145,674487,2992632
MAYO CLINIC  JACKSONVILLE,7073132,3531365,10604497
"ENERGESIS PHARMACEUTICALS, INC.",0,0,168876
"XONA MICROFLUIDICS, LLC",0,0,348284
SPARTANBURG REGIONAL MEDICAL CENTER,1202734,330594,1533328
"NEOGENE BIOSCIENCES, LLC",0,0,192240
ARIZONA SCIENCE CENTER,179221,13120,192341
"NEMUCORE MEDICAL INNOVATIONS, INC.",384461,212028,884791
"DIAMIR, LLC",0,0,223587
"EVERY FIT, INC.",0,0,1148169
MACFARLANE BURNET INST FOR RES/PUB HLTH,137474,10998,148472
SCRIPPS HEALTH,421906,129605,551511
SYRACUSE UNIVERSITY,2360609,904736,3265345
"SYNTHASOME, INC.",0,0,767209
"BIOPEPTIDES, INC.",0,0,300000
"VAXIION THERAPEUTICS, INC.",0,0,144103
IUOE NATIONAL TRAINING FUND,2400603,181064,2577497
"VIEWPLUS TECHNOLOGIES, INC.",0,0,595515
UNIVERSITY OF ROCHESTER,104244575,39296823,146849347
GREAT LAKES SCIENCE CENTER,245268,10430,255698
"OMICIA, INC.",0,0,781754
CHILDREN'S HOSPITAL OF LOS ANGELES,12561478,4719060,17149123
"INNOVATIVE BIOTHERAPIES, INC.",0,0,1057332
"QUALITY BIOLOGICAL, INC.",0,0,2474435
"CIRCULITE, INC.",0,0,878110
"CELLECTA, INC.",0,0,299952
UNIVERSITY OF CALIFORNIA SANTA BARBARA,13917734,4536125,18453859
DYNAVAX TECHNOLOGIES CORPORATION,0,0,627986
"RADIANT CREATIVE GROUP, LLC",0,0,1225973
"KINETIC CERAMICS, INC.",0,0,200827
"IONWERKS, INC.",0,0,1717826
"BRAINSYMPHONICS, LLC",0,0,598020
"NEUROBEHAVIORAL RESEARCH, INC.",0,0,113651
AMERICAN COCHLEAR IMPLANT ALLIANCE FDN,40000,0,40000
JOINT CLINICAL RESEARCH CENTER,397295,31783,429078
"HAPLOMICS, INC.",0,0,184545
"BIOTHERAPEUTICS, INC.",0,0,336621
MBARARA UNIVERSITY/SCIENCE/ TECHNOLOGY,33381,2670,36051
"TOMOWAVE LABORATORIES, INC.",376709,125502,743486
CENTER FOR PSYCHOLOGICAL CONSULTATION,0,0,1350176
MSP CORPORATION,0,0,239408
"ELGAVISH PARAMAGNETICS, INC.",0,0,440498
ST. JOHN'S UNIVERSITY,579220,342002,921222
UNIVERSIDAD DEL ESTE,449615,32886,482501
"EPITEL, INC.",0,0,601418
UNIVERSITY OF LOUISIANA AT MONROE,716584,286785,1003369
CENTER FOR ENVIRONMENTAL SCIENCE,90115,41277,131392
OREGON STATE UNIVERSITY,10961877,3790201,14706571
UNIVERSITY OF SAN ANDRES,20700,1656,22356
GLOBAL ALLIANCE FOR TB DRUG DEVELOPMENT,418003,4976,422979
AGNES SCOTT COLLEGE,226751,82731,309482
FRAUNHOFER CENTER /MANUFACTURING INNOV,902849,187354,1090203
CHLAMYDIA BASIC RESEARCH SOCIETY,10000,0,10000
"MAGNETIC RESONANCE INNOVATIONS, INC.",0,0,499997
CHILDREN'S RESEARCH INSTITUTE,17298496,7356001,24141235
CALIFORNIA STATE UNIVERSITY LONG BEACH,3141910,1082668,3803393
NORTHERN CALIFORNIA INSTITUTE/RES/EDU,19371255,5516466,24887721
ALLEN/LOEB ASSOCIATES,0,0,349700
YESHIVA UNIVERSITY,676025,341449,2796729
AMERICAN SOCIETY OF HEMATOLOGY,307276,21382,328658
"ACPHARIS, INC.",0,0,149999
"PERCEPTIMED, INC.",0,0,261708
TEXAS AGRILIFE RESEARCH,2350382,857190,3206406
"PROGERIA RESEARCH FOUNDATION, INC.",13500,0,13500
"IN CYTU, INC.",0,0,981388
EPICENTER SOFTWARE,0,0,433513
RESONON INC.,0,0,389222
"BLOODCENTER OF WISCONSIN, INC.",3282358,1725107,8595803
"MACROGENICS, INC.",1048149,137376,1185525
GUTTMACHER INSTITUTE,362360,92731,455091
PIERSON BRAIN IMAGE ANALYSIS,0,0,158938
"TRANSGENOMIC, INC.",0,0,200000
PRINCETON UNIVERSITY,28364177,11603111,39609228
"INTEGRATED BIOTHERAPEUTICS, INC.",0,0,1138349
CARLE FOUNDATION,660067,168146,828213
